Station Name,CALGARY INTL A,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-19,2018,6,19,,25.3,,9.8,,17.6,,0.4,,0,,0,,0,,0,,,,17,,39,
2018-06-20,2018,6,20,,27.2,,11.5,,19.4,,0,,1.4,,0,,0,,0,,,,14,,43,
2018-06-21,2018,6,21,,26.5,,11.4,,19,,0,,1,,0,,0,,0,,,,29,,54,
2018-06-22,2018,6,22,,24.5,,11.1,,17.8,,0.2,,0,,3.2,,0,,3.2,,,,35,,44,
2018-06-23,2018,6,23,,20.9,,12.6,,16.8,,1.2,,0,,27,,0,,27,,,,33,,50,
2018-06-24,2018,6,24,,25.4,,11.5,,18.5,,0,,0.5,,0,,0,,0,,,,16,,37,
2018-06-25,2018,6,25,,26.8,,13.1,,20,,0,,2,,0,,0,,0,,,,23,,65,
2018-06-26,2018,6,26,,19.7,,10.8,,15.3,,2.7,,0,,0,T,0,,0,T,,,28,,67,
2018-06-27,2018,6,27,,23.7,,6.2,,15,,3,,0,,0,,0,,0,,,,29,,54,
2018-06-28,2018,6,28,,19.2,E,,M,,M,,M,,M,1,,0,,1,,,,31,,39,
2018-06-29,2018,6,29,,19,,9.7,,14.4,,3.6,,0,,4.2,,0,,4.2,,,,16,,33,
2018-06-30,2018,6,30,,22.1,E,,M,,M,,M,,M,0,,0,,0,,,,35,,44,
2018-07-01,2018,7,1,,21,,8.5,,14.8,,3.2,,0,,0,,0,,0,,,,27,,48,
2018-07-02,2018,7,2,,16,,6.9,,11.5,,6.5,,0,,1.6,,0,,1.6,,,,33,,39,
2018-07-03,2018,7,3,,15.7,,8,,11.9,,6.1,,0,,0.8,,0,,0.8,,,,32,,39,
2018-07-04,2018,7,4,,19.7,,9.3,,14.5,,3.5,,0,,4.2,,0,,4.2,,,,0,,33,
2018-07-05,2018,7,5,,25.9,,8.9,,17.4,,0.6,,0,,0,,0,,0,,,,15,,46,
2018-07-06,2018,7,6,,33.2,E,13.3,E,23.3,E,0,E,5.3,E,,M,,M,,M,,,,,<31,
2018-07-07,2018,7,7,,25.1,,13.3,,19.2,,0,,1.2,,0,,0,,0,,,,29,,52,
2018-07-08,2018,7,8,,25.1,E,7.9,E,16.5,E,1.5,E,0,E,,M,,M,0,,,,,M,,M
2018-07-09,2018,7,9,,28.2,,10.7,,19.5,,0,,1.5,,0,,0,,0,,,,12,,41,
2018-07-10,2018,7,10,,21.6,,10,,15.8,,2.2,,0,,8.9,,0,,8.9,,,,29,,48,
2018-07-11,2018,7,11,,25.1,,14.3,,19.7,,0,,1.7,,0,,0,,0,,,,35,,37,
2018-07-12,2018,7,12,,27.3,,10.3,,18.8,,0,,0.8,,0,,0,,0,,,,10,,37,
2018-07-13,2018,7,13,,31.7,,11.1,,21.4,,0,,3.4,,0,T,0,,0,T,,,1,,96,
2018-07-14,2018,7,14,,21.2,,8,,14.6,,3.4,,0,,2.2,,0,,2.2,,,,33,,48,
2018-07-15,2018,7,15,,26.7,,8.1,,17.4,,0.6,,0,,0,,0,,0,,,,10,,37,
2018-07-16,2018,7,16,,30.4,,11.8,,21.1,,0,,3.1,,0,,0,,0,,,,16,,48,
2018-07-17,2018,7,17,,31.3,,13,,22.2,,0,,4.2,,0,,0,,0,,,,4,,33,
2018-07-18,2018,7,18,,24.7,E,15.7,E,20.2,E,0,E,2.2,E,,M,,M,0.3,E,,,,M,,M
2018-07-19,2018,7,19,,25.9,,13,,19.5,,0,,1.5,,0.4,,0,,0.4,,,,15,,41,
2018-07-20,2018,7,20,,29.5,,11.1,,20.3,,0,,2.3,,0,,0,,0,,,,36,,48,
2018-07-21,2018,7,21,,24.2,,9.4,,16.8,,1.2,,0,,0.4,,0,,0.4,,,,36,,54,
2018-07-22,2018,7,22,,22.8,,10.6,,16.7,,1.3,,0,,0,T,0,,0,T,,,34,,57,
2018-07-23,2018,7,23,,22.4,,9.3,,15.9,,2.1,,0,,3.8,,0,,3.8,,,,35,,74,
2018-07-24,2018,7,24,,15.6,,11.5,,13.6,,4.4,,0,,7.2,,0,,7.2,,,,1,,39,
2018-07-25,2018,7,25,,22.6,,9.4,,16,,2,,0,,0.4,,0,,0.4,,,,12,,35,
2018-07-26,2018,7,26,,24.5,,11.6,,18.1,,0,,0.1,,3.4,,0,,3.4,,,,1,,65,
2018-07-27,2018,7,27,,22.8,,9.4,,16.1,,1.9,,0,,0,,0,,0,,,,,,<31,
2018-07-28,2018,7,28,,26.1,,9,,17.6,,0.4,,0,,0,,0,,0,,,,,,<31,
2018-07-29,2018,7,29,,28.5,,11.5,,20,,0,,2,,0,,0,,0,,,,,,<31,
2018-07-30,2018,7,30,,32.1,,12.2,,22.2,,0,,4.2,,0.8,,0,,0.8,,,,10,,72,
2018-07-31,2018,7,31,,26,,12.3,,19.2,,0,,1.2,,0.4,,0,,0.4,,,,14,,39,
2018-08-01,2018,8,1,,29.5,,14.2,,21.9,,0,,3.9,,14.5,,0,,14.5,,,,7,,43,
2018-08-02,2018,8,2,,22.8,,13.8,,18.3,,0,,0.3,,3.8,,0,,3.8,,,,3,,35,
2018-08-03,2018,8,3,,24.6,,12.3,,18.5,,0,,0.5,,4.2,,0,,4.2,,,,32,,52,
2018-08-04,2018,8,4,,17.4,,13.4,,15.4,,2.6,,0,,2.8,,0,,2.8,,,,33,,43,
2018-08-05,2018,8,5,,23.7,,11.2,,17.5,,0.5,,0,,0,T,0,,0,T,,,,,<31,
2018-08-06,2018,8,6,,28.9,,10.3,,19.6,,0,,1.6,,0,,0,,0,,,,28,,35,
2018-08-07,2018,8,7,,28.8,,14.5,,21.7,,0,,3.7,,0,,0,,0,,,,28,,39,
2018-08-08,2018,8,8,,29.9,,11.6,,20.8,,0,,2.8,,0,,0,,0,,,,13,,35,
2018-08-09,2018,8,9,,34,,13,,23.5,,0,,5.5,,0,,0,,0,,,,12,,35,
2018-08-10,2018,8,10,,36.5,,15.8,,26.2,,0,,8.2,,0,,0,,0,,,,22,,50,
2018-08-11,2018,8,11,,26.2,,13.9,,20.1,,0,,2.1,,0.8,,0,,0.8,,,,2,,69,
2018-08-12,2018,8,12,,19.2,,8.6,,13.9,,4.1,,0,,7.4,,0,,7.4,,,,31,,69,
2018-08-13,2018,8,13,,20.9,,8.3,,14.6,,3.4,,0,,0,,0,,0,,,,15,,33,
2018-08-14,2018,8,14,,29.1,,8.3,,18.7,,0,,0.7,,0,,0,,0,,,,,,<31,
2018-08-15,2018,8,15,,25,,14.2,,19.6,,0,,1.6,,0,,0,,0,,,,10,,30,
2018-08-16,2018,8,16,,28.3,,10.2,,19.3,,0,,1.3,,0,,0,,0,,,,13,,33,
2018-08-17,2018,8,17,,28,,12,,20,,0,,2,,0,,0,,0,,,,11,,35,
2018-08-18,2018,8,18,,19.1,,7.8,,13.5,,4.5,,0,,0,,0,,0,,,,1,,48,
2018-08-19,2018,8,19,,19.3,,4.1,,11.7,,6.3,,0,,0,,0,,0,,,,15,,30,
2018-08-20,2018,8,20,,19.5,,10.4,,15,,3,,0,,0.8,,0,,0.8,,,,0,,35,
2018-08-21,2018,8,21,,26.3,,5.6,,16,,2,,0,,0,,0,,0,,,,30,,33,
2018-08-22,2018,8,22,,31.4,,9.7,,20.6,,0,,2.6,,0,,0,,0,,,,,,<31,
2018-08-23,2018,8,23,,27.9,,10.8,,19.4,,0,,1.4,,0,,0,,0,,,,35,,50,
2018-08-24,2018,8,24,,16.2,,8.6,,12.4,,5.6,,0,,6.4,,0,,6.4,,,,35,,54,
2018-08-25,2018,8,25,,19.4,,6.2,,12.8,,5.2,,0,,0,,0,,0,,,,,,<31,
2018-08-26,2018,8,26,,20.3,,7.6,,14,,4,,0,,5.8,,0,,5.8,,,,35,,57,
2018-08-27,2018,8,27,,13.3,,5.3,,9.3,,8.7,,0,,2,,0,,2,,,,34,,57,
2018-08-28,2018,8,28,,20.5,,3.4,,12,,6,,0,,0,,0,,0,,,,28,,39,
2018-08-29,2018,8,29,,20.7,,10.6,,15.7,,2.3,,0,,0.6,,0,,0.6,,,,29,,50,
2018-08-30,2018,8,30,,20.7,,7.9,,14.3,,3.7,,0,,0.6,,0,,0.6,,,,0,,61,
2018-08-31,2018,8,31,,20.3,,6.1,,13.2,,4.8,,0,,0,,0,,0,,,,28,,56,
2018-09-01,2018,9,1,,16.7,,6.6,,11.7,,6.3,,0,,1.6,,0,,1.6,,,,36,,57,
2018-09-02,2018,9,2,,20.7,,4.5,,12.6,,5.4,,0,,0,,0,,0,,,,29,,44,
2018-09-03,2018,9,3,,15.5,,6.8,,11.2,,6.8,,0,,2.1,,0,,2.1,,,,35,,54,
2018-09-04,2018,9,4,,14.3,,5.2,,9.8,,8.2,,0,,0,,0,,0,,,,14,,33,
2018-09-05,2018,9,5,,20.9,,3.1,,12,,6,,0,,0,,0,,0,,,,17,,39,
2018-09-06,2018,9,6,,25.1,,3.8,,14.5,,3.5,,0,,0,,0,,0,,,,16,,35,
2018-09-07,2018,9,7,,27.8,,7.5,,17.7,,0.3,,0,,0,,0,,0,,,,,,<31,
2018-09-08,2018,9,8,,22.4,,10.2,,16.3,,1.7,,0,,0,,0,,0,,,,29,,54,
2018-09-09,2018,9,9,,17.2,,8.8,,13,,5,,0,,0,T,0,,0,T,,,,,<31,
2018-09-10,2018,9,10,,17.9,,5.3,,11.6,,6.4,,0,,5.4,,0,,5.4,,,,34,,39,
2018-09-11,2018,9,11,,17.5,,4.1,,10.8,,7.2,,0,,0.8,,0,,0.8,,,,28,,43,
2018-09-12,2018,9,12,,8.1,,0.2,,4.2,,13.8,,0,,0,,0,,0,,,,36,,43,
2018-09-13,2018,9,13,,2.6,,-2.1,,0.3,,17.7,,0,,0.2,,0,T,0.2,,0,T,,,<31,
2018-09-14,2018,9,14,,4.2,,-2,,1.1,,16.9,,0,,0.2,,0,,0.2,,0,T,,,<31,
2018-09-15,2018,9,15,,5.1,,1.8,,3.5,,14.5,,0,,0.6,,0,,0.6,,,,35,,32,
2018-09-16,2018,9,16,,4.6,,0.5,,2.6,,15.4,,0,,0.4,,0.6,,1,,,,,,<31,
2018-09-17,2018,9,17,,12.2,,1.6,,6.9,,11.1,,0,,0.8,,0,,0.8,,,,,,<31,
2018-09-18,2018,9,18,,6.8,,2.8,,4.8,,13.2,,0,,0.4,,0,,0.4,,,,,,<31,
2018-09-19,2018,9,19,,11.1,,3.7,,7.4,,10.6,,0,,0.6,,0,,0.6,,,,,,<31,
2018-09-20,2018,9,20,,9.6,,0.5,,5.1,,12.9,,0,,0,,0,,0,,,,0,,33,
2018-09-21,2018,9,21,,5.8,,-0.2,,2.8,,15.2,,0,,4,,0.2,,4.2,,0,T,6,,30,
2018-09-22,2018,9,22,,1.5,,-1.8,,-0.2,,18.2,,0,,1.4,,0,,1.4,,,,,,<31,
2018-09-23,2018,9,23,,6.7,,-0.1,,3.3,,14.7,,0,,0.8,,0,,0.8,,,,,,<31,
2018-09-24,2018,9,24,,13.1,,4.4,,8.8,,9.2,,0,,1.8,,0,,1.8,,,,36,,74,
2018-09-25,2018,9,25,,17.1,,3.9,,10.5,,7.5,,0,,0,T,0,,0,T,,,28,,37,
2018-09-26,2018,9,26,,15.5,,5.1,,10.3,,7.7,,0,,1.6,,0,,1.6,,,,4,,35,
2018-09-27,2018,9,27,,5.2,,1.3,,3.3,,14.7,,0,,12.1,,0,,12.1,,,,3,,32,
2018-09-28,2018,9,28,,7.5,,-0.3,,3.6,,14.4,,0,,0.6,,0.6,,1.2,,0,T,33,,35,
2018-09-29,2018,9,29,,2.8,,-1.5,,0.7,,17.3,,0,,0,,0,T,0,T,,,36,,35,
2018-09-30,2018,9,30,,0.1,,-3.2,,-1.6,,19.6,,0,,0,,0.4,,0.4,,0,T,14,,43,
2018-10-01,2018,10,1,,0.5,,-2.1,,-0.8,,18.8,,0,,0.1,,5.3,,5,,0,T,,,<31,
2018-10-02,2018,10,2,,-1.6,,-4.4,,-3,,21,,0,,0,,32.8,,23.7,,17,,,,<31,
2018-10-03,2018,10,3,,1.6,,-11,,-4.7,,22.7,,0,,0,,1,,0.8,,30,,,,<31,
2018-10-04,2018,10,4,,2.1,,-4.4,,-1.2,,19.2,,0,,0,,0,,0,,16,,,,<31,
2018-10-05,2018,10,5,,6.8,,-6.7,,0.1,,17.9,,0,,0,,0,,0,,9,,,,<31,
2018-10-06,2018,10,6,,8.5,,-3.6,,2.5,,15.5,,0,,0,,0,,0,,6,,,,<31,
2018-10-07,2018,10,7,,9.7,,-3.7,,3,,15,,0,,0,,0,,0,,,,,,<31,
2018-10-08,2018,10,8,,1.3,,-2.9,,-0.8,,18.8,,0,,0.2,,1.7,,1.4,,2,,34,,39,
2018-10-09,2018,10,9,,-2.8,,-4.6,,-3.7,,21.7,,0,,0,,6.4,,6.3,,3,,10,,37,
2018-10-10,2018,10,10,,-0.3,,-3.8,,-2.1,,20.1,,0,,0,,1,,1,,5,,14,,33,
2018-10-11,2018,10,11,,4.2,,-1.5,,1.4,,16.6,,0,,0,T,0,,0,T,4,,,,<31,
2018-10-12,2018,10,12,,14.6,,-0.8,,6.9,,11.1,,0,,9.8,,0,T,9.8,,3,,33,,80,
2018-10-13,2018,10,13,,1.1,,-3,,-1,,19,,0,,0,,0.2,,0.2,,0,T,36,,48,
2018-10-14,2018,10,14,,11.7,,-5,,3.4,,14.6,,0,,0,,0,,0,,0,T,29,,41,
2018-10-15,2018,10,15,,17.7,,2.5,,10.1,,7.9,,0,,0,,0,,0,,,,27,,48,
2018-10-16,2018,10,16,,19.4,,1.6,,10.5,,7.5,,0,,0,,0,,0,,,,32,,35,
2018-10-17,2018,10,17,,21.3,,2,,11.7,,6.3,,0,,0,,0,,0,,,,,,<31,
2018-10-18,2018,10,18,,17.7,,3.1,,10.4,,7.6,,0,,0,,0,,0,,,,28,,56,
2018-10-19,2018,10,19,,14.2,,-1.9,,6.2,,11.8,,0,,0,,0,,0,,,,,,<31,
2018-10-20,2018,10,20,,20.4,,0.7,,10.6,,7.4,,0,,0,,0,,0,,,,29,,43,
2018-10-21,2018,10,21,,12.4,,-3,,4.7,,13.3,,0,,0,,0,,0,,,,,,<31,
2018-10-22,2018,10,22,,13.3,,-3.3,,5,,13,,0,,0,,0,,0,,,,15,,30,
2018-10-23,2018,10,23,,18,,-2.5,,7.8,,10.2,,0,,0,,0,,0,,,,,,<31,
2018-10-24,2018,10,24,,16.6,,1.2,,8.9,,9.1,,0,,0,T,0,,0,T,,,29,,50,
2018-10-25,2018,10,25,,15.2,,-0.6,,7.3,,10.7,,0,,0,,0,,0,,,,28,,56,
2018-10-26,2018,10,26,,16.6,,-1.2,,7.7,,10.3,,0,,0,,0,,0,,,,34,,52,
2018-10-27,2018,10,27,,13.2,E,,M,,M,,M,,M,0,,0,,0,,,,35,,59,
2018-10-28,2018,10,28,,13.3,,-0.5,,6.4,,11.6,,0,,0,,0,,0,,,,27,,43,
2018-10-29,2018,10,29,,11.5,,-2.1,,4.7,,13.3,,0,,0,,0,,0,,,,28,,43,
2018-10-30,2018,10,30,,11.4,,-1.2,,5.1,,12.9,,0,,0,T,0,,0,T,,,30,,48,
2018-10-31,2018,10,31,,11.1,,0.2,,5.7,,12.3,,0,,0,,0,,0,,,,28,,37,
2018-11-01,2018,11,1,,6.8,,1.4,,4.1,,13.9,,0,,0,,0,T,0,T,,,32,,58,
2018-11-02,2018,11,2,,2.4,,-0.4,,1,,17,,0,,0,,0,T,0,T,,,36,,46,
2018-11-03,2018,11,3,,12.2,,-3.1,,4.6,,13.4,,0,,0,,0,,0,,,,27,,41,
2018-11-04,2018,11,4,,12.9,,-2.6,,5.2,,12.8,,0,,1.4,,0,T,1.4,,,,35,,59,
2018-11-05,2018,11,5,,-2.7,,-8.2,,-5.5,,23.5,,0,,0,,2.5,,2.2,,0,T,35,,45,
2018-11-06,2018,11,6,,-7.1,,-9.9,,-8.5,,26.5,,0,,0,,3,,2.6,,2,,,M,,M
2018-11-07,2018,11,7,,-3.8,,-11,,-7.4,,25.4,,0,,0,,0.2,,0.2,,3,,,M,,M
2018-11-08,2018,11,8,,-1,,-12.6,,-6.8,,24.8,,0,,0,,0,,0,,3,,,M,,M
2018-11-09,2018,11,9,,8,,-11.9,,-2,,20,,0,,0.2,,0.2,,0.4,,2,,29,,48,
2018-11-10,2018,11,10,,2.5,,-2.1,,0.2,,17.8,,0,,0,,0,T,0,T,0,T,35,,58,
2018-11-11,2018,11,11,,-0.6,,-7.8,,-4.2,,22.2,,0,,0,,1.4,,1,,1,,,,,M
2018-11-12,2018,11,12,,8.6,,-8.5,,0.1,,17.9,,0,,0,,0,,0,,,,,,,M
2018-11-13,2018,11,13,,14.5,,0.1,,7.3,,10.7,,0,,0,,0,,0,,,,27,,68,
2018-11-14,2018,11,14,,11.1,,0.5,,5.8,,12.2,,0,,0,,0,,0,,,,27,,58,
2018-11-15,2018,11,15,,,M,,M,,M,,M,,M,0,,0,,0,,,,28,,32,
2018-11-16,2018,11,16,,2.4,,-14.1,,-5.9,,23.9,,0,,0,,3.2,,3,,1,,36,,89,
2018-11-17,2018,11,17,,1.6,,-14.9,,-6.7,,24.7,,0,,0,,0,,0,,2,,,M,,M
2018-11-18,2018,11,18,,5.5,,-4.3,,0.6,,17.4,,0,,3.6,,0,,3.6,,,,34,,46,
2018-11-19,2018,11,19,,11.4,,-2.4,,4.5,,13.5,,0,,0,,0,,0,,,,,M,,M
2018-11-20,2018,11,20,,13.6,,-1.3,,6.2,,11.8,,0,,0,,0,,0,,0,T,27,,52,
2018-11-21,2018,11,21,,9.2,,-2,,3.6,,14.4,,0,,0,,0,,0,,0,T,,,,M
2018-11-22,2018,11,22,,11.3,,-3,,4.2,,13.8,,0,,0,,0,,0,,,,27,,32,
2018-11-23,2018,11,23,,0.9,,-4.7,,-1.9,,19.9,,0,,0,,13.2,,12.6,,0,,,M,,M
2018-11-24,2018,11,24,,-2.5,,-10.3,,-6.4,,24.4,,0,,0,,4.2,,3.2,,15,,,M,,M
2018-11-25,2018,11,25,,1.5,,-8.1,,-3.3,,21.3,,0,,0,,0,,0,,13,,,M,,M
2018-11-26,2018,11,26,,5.8,,-9.3,,-1.8,,19.8,,0,,0,T,0,,0,T,10,,,M,,M
2018-11-27,2018,11,27,,10.3,,1.3,,5.8,,12.2,,0,,0,,0,,0,,9,,28,,50,
2018-11-28,2018,11,28,,9.5,,-1.7,,3.9,,14.1,,0,,0,,0,,0,,3,,29,,41,
2018-11-29,2018,11,29,,6.3,,-6.3,,0,,18,,0,,0,,0,,0,,3,,30,,35,
2018-11-30,2018,11,30,,1.7,,-8.2,,-3.3,,21.3,,0,,0,,0,,0,,2,,,M,,M
2018-12-01,2018,12,1,,-2.5,,-4.8,,-3.7,,21.7,,0,,0,,7,,5.8,,2,,,M,,M
2018-12-02,2018,12,2,,-2.1,,-5.2,,-3.7,,21.7,,0,,0,,4,,4,,12,,35,,32,
2018-12-03,2018,12,3,,,M,,M,,M,,M,,M,0,,0.3,,0.2,,11,,,M,,M
2018-12-04,2018,12,4,,1.8,,-10.5,,-4.4,,22.4,,0,,0,,0.2,,0.2,,10,,1,,46,
2018-12-05,2018,12,5,,-3.6,,-13.3,,-8.5,,26.5,,0,,0.2,,0,T,0.2,,8,,34,,54,
2018-12-06,2018,12,6,,-2.9,,-18.6,,-10.8,,28.8,,0,,0,,0,,0,,9,,,M,,M
2018-12-07,2018,12,7,,1.6,,-16.4,,-7.4,,25.4,,0,,0,,0,,0,,9,,,M,,M
2018-12-08,2018,12,8,,1.9,,-10.8,,-4.5,,22.5,,0,,0,,0,,0,,8,,,M,,M
2018-12-09,2018,12,9,,5.7,,-7.8,,-1.1,,19.1,,0,,0,,0,,0,,8,,28,,54,
2018-12-10,2018,12,10,,6.2,,1.6,,3.9,,14.1,,0,,0,,0,,0,,7,,29,,58,
2018-12-11,2018,12,11,,4.5,,-6.1,,-0.8,,18.8,,0,,0,,0,,0,,3,,27,,35,
2018-12-12,2018,12,12,,4.2,,-4.2,,0,,18,,0,,0,T,0,,0,T,3,,28,,54,
2018-12-13,2018,12,13,,6.5,,-6.4,,0.1,,17.9,,0,,0,,0,,0,,9,,36,,32,
2018-12-14,2018,12,14,,8.7,,-6.4,,1.2,,16.8,,0,,0,,0,,0,,9,,19,,46,
2018-12-15,2018,12,15,,7.8,,-6.8,,0.5,,17.5,,0,,0,,0,,0,,8,,30,,55,
2018-12-16,2018,12,16,,2.8,,-6.3,,-1.8,,19.8,,0,,0,,0,,0,,7,,,M,,M
2018-12-17,2018,12,17,,9.1,,-6.2,,1.5,,16.5,,0,,0,,0,,0,,7,,27,,50,
2018-12-18,2018,12,18,,7.5,,-3.4,,2.1,,15.9,,0,,0,,0,,0,,7,,29,,48,
2018-12-19,2018,12,19,,7,,-2.7,,2.2,,15.8,,0,,0,,0,,0,,3,,29,,54,
2018-12-20,2018,12,20,,8.7,,-3,,2.9,,15.1,,0,,0,,0,,0,,4,,22,,58,
2018-12-21,2018,12,21,,5.4,,-3,,1.2,,16.8,,0,,0,,0,,0,,4,,22,,63,
2018-12-22,2018,12,22,,-2.6,,-7.9,,-5.3,,23.3,,0,,0,,0,,0,,4,,31,,33,
2018-12-23,2018,12,23,,3,,-8.2,,-2.6,,20.6,,0,,0,,0,,0,,3,,27,,45,
2018-12-24,2018,12,24,,-4.3,,-11.7,,-8,,26,,0,,0,,0,,0,,3,,,M,,M
2018-12-25,2018,12,25,,-1.8,,-10,,-5.9,,23.9,,0,,0,,0.8,,0.6,,3,,,M,,M
2018-12-26,2018,12,26,,-3.9,,-8.7,,-6.3,,24.3,,0,,0,,0.3,,0.5,,3,,,,,M
2018-12-27,2018,12,27,,-4.6,,-10,,-7.3,,25.3,,0,,0,,1,,0.8,,4,,,M,,M
2018-12-28,2018,12,28,,1.8,,-13,,-5.6,,23.6,,0,,0,,0,,0,,4,,29,,54,
2018-12-29,2018,12,29,,9.1,,-3.9,,2.6,,15.4,,0,,0,T,0,,0,T,4,,36,,42,
2018-12-30,2018,12,30,,4,,-13.7,,-4.9,,22.9,,0,,0,,1.3,,0.9,,4,,36,,67,
2018-12-31,2018,12,31,,-8,,-14.7,,-11.4,,29.4,,0,,0,,0,T,0,T,4,,,M,,M
